IdtCadastroSRFMunicipioTom;NomeMunicipio;CodTOM;CodIBGE;SiglaUF
1;GUAJARA-MIRIM;0001;1100106;RO
2;ALTO ALEGRE DOS PARECIS;0002;1100379;RO
3;PORTO VELHO;0003;1100205;RO
4;BURITIS;0004;1100452;RO
5;JI-PARANA;0005;1100122;RO
6;CHUPINGUAIA;0006;1100924;RO
7;ARIQUEMES;0007;1100023;RO
8;CUJUBIM;0008;1100940;RO
9;CACOAL;0009;1100049;RO
10;NOVA UNIAO;0010;1101435;RO
11;PIMENTA BUENO;0011;1100189;RO
12;PARECIS;0012;1101450;RO
13;VILHENA;0013;1100304;RO
14;PIMENTEIRAS DO OESTE;0014;1101468;RO
15;JARU;0015;1100114;RO
16;PRIMAVERA DE RONDONIA;0016;1101476;RO
17;OURO PRETO DO OESTE;0017;1100155;RO
18;SAO FELIPE D'OESTE;0018;1101484;RO
19;PRESIDENTE MEDICI;0019;1100254;RO
20;SAO FRANCISCO DO GUAPORE;0020;1101492;RO
21;COSTA MARQUES;0021;1100080;RO
22;TEIXEIROPOLIS;0022;1101559;RO
23;COLORADO DO OESTE;0023;1100064;RO
24;VALE DO ANARI;0024;1101757;RO
25;ESPIGAO D'OESTE;0025;1100098;RO
26;AMAJARI;0026;1400027;RR
27;CEREJEIRAS;0027;1100056;RO
28;CANTA;0028;1400175;RR
29;ROLIM DE MOURA;0029;1100288;RO
30;CAROEBE;0030;1400233;RR
31;CALDAZINHA;0031;5204557;GO
32;IRACEMA;0032;1400282;RR
33;ALTA FLORESTA D'OESTE;0033;1100015;RO
34;PACARAIMA;0034;1400456;RR
35;ALVORADA D'OESTE;0035;1100346;RO
36;RORAINOPOLIS;0036;1400472;RR
37;CABIXI;0037;1100031;RO
38;UIRAMUTA;0038;1400704;RR
39;MACHADINHO D'OESTE;0039;1100130;RO
40;ANAPU;0040;1500859;PA
41;NOVA BRASILANDIA D'OESTE;0041;1100148;RO
42;BANNACH;0042;1501253;PA
43;SANTA LUZIA D'OESTE;0043;1100296;RO
44;BELTERRA;0044;1501451;PA
45;SAO MIGUEL DO GUAPORE;0045;1100320;RO
46;CACHOEIRA DO PIRIA;0046;1501956;PA
47;NOVA MAMORE;0047;1100338;RO
48;CANAA DOS CARAJAS;0048;1502152;PA
49;JESUPOLIS;0049;5212055;GO
50;CURUA;0050;1502855;PA
51;PROFESSOR JAMIL;0051;5218391;GO
52;FLORESTA DO ARAGUAIA;0052;1503044;PA
53;SANTO ANTONIO DE GOIAS;0053;5219738;GO
54;MARITUBA;0054;1504422;PA
55;COCALZINHO DE GOIAS;0055;5205513;GO
56;NOVA IPIXUNA;0056;1504976;PA
57;TEREZOPOLIS DE GOIAS;0057;5221197;GO
58;PICARRA;0058;1505635;PA
59;UIRAPURU;0059;5221577;GO
60;PLACAS;0060;1505650;PA
61;BURITINOPOLIS;0061;5203962;GO
62;QUATIPURU;0062;1506112;PA
63;BURITI DE GOIAS;0063;5203939;GO
64;SAO JOAO DA PONTA;0064;1507466;PA
65;GUARAITA;0065;5209291;GO
66;SAPUCAIA;0066;1507755;PA
67;VILA BOA;0067;5222203;GO
68;TRACUATEUA;0068;1508035;PA
69;INACIOLANDIA;0069;5209937;GO
70;VITORIA DO JARI;0070;1600808;AP
71;APARECIDA DO RIO DOCE;0071;5201454;GO
72;AGUIARNOPOLIS;0072;1700301;TO
73;CHAPADAO DO CEU;0073;5205471;GO
74;BANDEIRANTES DO TOCANTINS;0074;1703057;TO
75;PEROLANDIA;0075;5216452;GO
76;BARRA DO OURO;0076;1703073;TO
77;CIDADE OCIDENTAL;0077;5205497;GO
78;CHAPADA DE AREIA;0078;1704600;TO
79;MONTIVIDIU DO NORTE;0079;5213772;GO
80;CHAPADA DA NATIVIDADE;0080;1705102;TO
81;CASTELANDIA;0081;5205059;GO
82;CRIXAS DO TOCANTINS;0082;1706258;TO
83;SANTO ANTONIO DA BARRA;0083;5219712;GO
84;IPUEIRAS;0084;1709807;TO
85;ALTO HORIZONTE;0085;5200555;GO
86;LAVANDEIRA;0086;1712157;TO
87;NOVA IGUACU DE GOIAS;0087;5214879;GO
88;LUZINOPOLIS;0088;1712454;TO
89;COTRIGUACU;0089;5103379;MT
90;MONTE SANTO DO TOCANTINS;0090;1713700;TO
91;PLANALTO DA SERRA;0091;5106455;MT
92;OLIVEIRA DE FATIMA;0092;1715507;TO
93;SAO PEDRO DA CIPA;0093;5107404;MT
94;PUGMIL;0094;1718451;TO
95;PONTAL DO ARAGUAIA;0095;5106653;MT
96;SANTA RITA DO TOCANTINS;0096;1718899;TO
97;QUERENCIA;0097;5107065;MT
98;SANTA TEREZINHA DO TOCANTINS;0098;1720002;TO
99;RIBEIRAOZINHO;0099;5107198;MT
100;TALISMA;0100;1720978;TO
101;PORTO ESTRELA;0101;5106851;MT
102;TUPIRAMA;0102;1721257;TO
103;NOVA MARILANDIA;0103;5108857;MT
104;AGUA DOCE DO MARANHAO;0104;2100154;MA
105;BRASILEIA;0105;1200104;AC
106;ALTO ALEGRE DO MARANHAO;0106;2100436;MA
107;CRUZEIRO DO SUL;0107;1200203;AC
108;ALTO ALEGRE DO PINDARE;0108;2100477;MA
109;MANCIO LIMA;0109;1200336;AC
110;AMAPA DO MARANHAO;0110;2100550;MA
111;NOVA MARINGA;0111;5108907;MT
112;APICUM-ACU;0112;2100832;MA
113;FEIJO;0113;1200302;AC
114;ARAGUANA;0114;2100873;MA
115;SANTO AFONSO;0115;5107263;MT
116;BACABEIRA;0116;2101251;MA
117;NOVA BANDEIRANTES;0117;5106158;MT
118;BACURITUBA;0118;2101350;MA
119;NOVA MONTE VERDE;0119;5108956;MT
120;BELAGUA;0120;2101731;MA
121;NOVA GUARITA;0121;5108808;MT
122;BELA VISTA DO MARANHAO;0122;2101772;MA
123;SANTA CARMEM;0123;5107248;MT
124;BERNARDO DO MEARIM;0124;2101939;MA
125;TABAPORA;0125;5107941;MT
126;BOA VISTA DO GURUPI;0126;2101970;MA
127;ALTO BOA VISTA;0127;5100359;MT
128;BOM JESUS DAS SELVAS;0128;2102036;MA
129;CANABRAVA DO NORTE;0129;5102694;MT
130;BOM LUGAR;0130;2102077;MA
131;CONFRESA;0131;5103353;MT
132;BREJO DE AREIA;0132;2102150;MA
133;SAO JOSE DO XINGU;0133;5107354;MT
134;BURITICUPU;0134;2102325;MA
135;GLORIA D'OESTE;0135;5103957;MT
136;BURITIRANA;0136;2102358;MA
137;LAMBARI D'OESTE;0137;5105234;MT
138;CACHOEIRA GRANDE;0138;2102374;MA
139;RIO BRANCO;0139;1200401;AC
140;CAMPESTRE DO MARANHAO;0140;2102556;MA
141;ALCINOPOLIS;0141;5000252;MS
142;CAPINZAL DO NORTE;0142;2102754;MA
143;NOVA ALVORADA DO SUL;0143;5006002;MS
144;CENTRAL DO MARANHAO;0144;2103125;MA
145;SENA MADUREIRA;0145;1200500;AC
146;CENTRO DO GUILHERME;0146;2103158;MA
147;TARAUACA;0147;1200609;AC
148;CENTRO NOVO DO MARANHAO;0148;2103174;MA
149;XAPURI;0149;1200708;AC
150;CIDELANDIA;0150;2103257;MA
151;PLACIDO DE CASTRO;0151;1200385;AC
152;CONCEICAO DO LAGO-ACU;0152;2103554;MA
153;SENADOR GUIOMARD;0153;1200450;AC
154;DAVINOPOLIS;0154;2103752;MA
155;MANOEL URBANO;0155;1200344;AC
156;FEIRA NOVA DO MARANHAO;0156;2104073;MA
157;ASSIS BRASIL;0157;1200054;AC
158;FERNANDO FALCAO;0158;2104081;MA
159;NOVO HORIZONTE DO SUL;0159;5006259;MS
160;FORMOSA DA SERRA NEGRA;0160;2104099;MA
161;JAPORA;0161;5004809;MS
162;GOVERNADOR EDISON LOBAO;0162;2104552;MA
163;LAGUNA CARAPA;0163;5005251;MS
164;GOVERNADOR LUIZ ROCHA;0164;2104628;MA
165;ANGICO;0165;1701051;TO
166;GOVERNADOR NEWTON BELLO;0166;2104651;MA
167;ARAGOMINAS;0167;1701309;TO
168;GOVERNADOR NUNES FREIRE;0168;2104677;MA
169;ARAGUANA;0169;1702158;TO
170;IGARAPE DO MEIO;0170;2105153;MA
171;CACHOEIRINHA;0171;1703826;TO
172;ITAIPAVA DO GRAJAU;0172;2105351;MA
173;CAMPOS LINDOS;0173;1703842;TO
174;ITINGA DO MARANHAO;0174;2105427;MA
175;CARMOLANDIA;0175;1703883;TO
176;JATOBA;0176;2105450;MA
177;CARRASCO BONITO;0177;1703891;TO
178;JENIPAPO DOS VIEIRAS;0178;2105476;MA
179;DARCINOPOLIS;0179;1706506;TO
180;JUNCO DO MARANHAO;0180;2105658;MA
181;ESPERANTINA;0181;1707405;TO
182;LAGOA DO MATO;0182;2105922;MA
183;MAURILANDIA DO TOCANTINS;0183;1712801;TO
184;LAGO DOS RODRIGUES;0184;2105948;MA
185;PALMEIRAS DO TOCANTINS;0185;1713809;TO
186;LAGOA GRANDE DO MARANHAO;0186;2105963;MA
187;MURICILANDIA;0187;1713957;TO
188;LAJEADO NOVO;0188;2105989;MA
189;PALMEIRANTE;0189;1715705;TO
190;MARACACUME;0190;2106326;MA
191;PAU D'ARCO;0191;1716307;TO
192;MARAJA DO SENA;0192;2106359;MA
193;RIACHINHO;0193;1718550;TO
194;MARANHAOZINHO;0194;2106375;MA
195;SANTA FE DO ARAGUAIA;0195;1718865;TO
196;MATOES DO NORTE;0196;2106631;MA
197;SAO BENTO DO TOCANTINS;0197;1720101;TO
198;MILAGRES DO MARANHAO;0198;2106672;MA
199;SAO MIGUEL DO TOCANTINS;0199;1720200;TO
200;NOVA COLINAS;0200;2107258;MA
201;NOVO AIRAO;0201;1303205;AM
202;NOVA OLINDA DO MARANHAO;0202;2107357;MA
203;ANORI;0203;1300102;AM
204;OLINDA NOVA DO MARANHAO;0204;2107456;MA
205;ATALAIA DO NORTE;0205;1300201;AM
206;PAULINO NEVES;0206;2108058;MA
207;AUTAZES;0207;1300300;AM
208;PEDRO DO ROSARIO;0208;2108256;MA
209;BARCELOS;0209;1300409;AM
210;PERITORO;0210;2108454;MA
211;BARREIRINHA;0211;1300508;AM
212;PORTO RICO DO MARANHAO;0212;2109056;MA
213;BENJAMIN CONSTANT;0213;1300607;AM
214;PRESIDENTE MEDICI;0214;2109239;MA
215;BOCA DO ACRE;0215;1300706;AM
216;PRESIDENTE SARNEY;0216;2109270;MA
217;BORBA;0217;1300805;AM
218;RAPOSA;0218;2109452;MA
219;CANUTAMA;0219;1300904;AM
220;RIBAMAR FIQUENE;0220;2109551;MA
221;CARAUARI;0221;1301001;AM
222;SANTA FILOMENA DO MARANHAO;0222;2109759;MA
223;CAREIRO;0223;1301100;AM
224;SANTANA DO MARANHAO;0224;2110237;MA
225;COARI;0225;1301209;AM
226;SANTO AMARO DO MARANHAO;0226;2110278;MA
227;CODAJAS;0227;1301308;AM
228;SAO DOMINGOS DO AZEITAO;0228;2110658;MA
229;EIRUNEPE;0229;1301407;AM
230;SAO FRANCISCO DO BREJAO;0230;2110856;MA
231;ENVIRA;0231;1301506;AM
232;SAO JOAO DO CARU;0232;2111029;MA
233;FONTE BOA;0233;1301605;AM
234;SAO JOAO DO PARAISO;0234;2111052;MA
235;HUMAITA;0235;1301704;AM
